question, op1, op2, op3, op4, ans, difficulty
0,1. she has great love and affection _________ her grandmother.,for,from,with,to,for,Easy
1,2. but there is more ________ Argentina's red wines than Malbec only.,in,to,from,at,to,Easy
2,3. opapue glass is the kind of material____ ___ which you cannot see.,into,through,from,between,through,Easy
3,4. 25 paise coins are fast becoming.. obsolete.,smaller,older,rare,outdated,outdated,Easy
4,5. the omly evidance was a pice of crumpled paper lying in a cornor.,torn,burnt,wrinkled,dirty,wrinkled,Easy
5,6. his plans started going awry the moment he began his journy to nagaland.,well,smoothly,wrong,slowly,wrong,Easy
6,7. the brahmputra rises in the himaliya in _______ Tibet.,a,an,the,no article need,no article need,Easy
7,8. it is suspect that _______ colleague committed the murder.,a,an,the,no article need,a,Easy
8,9. ________ ice-pick was used for the murder.,a,an,the,no article need,an,Easy
9,10. it was no dout ________ stupidity to admit her into our gang,a,an,the,no article need.,a,Easy
10,1. A certain number of men take 45 days to complete work. If there are 10 men less then they will take 60 days to complete the work. Find the original number of men.,50,60,30,40,40,Medium
11,2. 5 men and 10 boys can do a piece of work in 30 days and 8 men and 12 boys can do the work in 20 days then the ratio of daily work done by a man to that of a boy.,05:01,04:05,06:01,07:03,06:01,Hard
12,3. 4 women and 5 men working together can do 3 times the work done by 2 women and one man together. Calculate the work of a man to that of a woman.,01:01,03:02,01:02,02:01,01:01,Medium
13,"4. Manoj can do a work in 20 days, while Chandu can do the same work in 25 days. They started the work jointly. A few days later Suresh also joined them and thus all of them completed the whole work in 10 days. All of them were paid total Rs.1000. What is the share of Suresh?",100,300,200,400,100,Hard
14,"5. Nagarjuna lends Rs 30,000 of two of his friends. He gives Rs 15,000 to the first at 6% p.a. simple interest. He wants to make a profit of 10% on the whole. The simple interest rate at which he should lend the remaining sum of money to the second friend is",8%,12%,14%,16%,14%,Medium
15,"6. A portion of $6600 is invested at a 5% annual return, while the remainder is invested at a 3% annual return. If the annual income from the portion earning a 5% return is twice that of the other portion, what is the total income from the two investments after one year?",270,250,280,200,270,Hard
16,"7. While calculating the weight of a group of men, the weight of 63 kg of one of the member was mistakenly written as 83 kg. Due to this the average of the weights increased by half kg. What is the number of men in the group?",25,20,40,60,40,Medium
17,"8. In a group of 8 boys, 2 men aged at 21 and 23 were replaced, two new boys. Due to this the average cost of the group increased by 2 years. What is the average age of the 2 new boys?",17,30,28,23,30,Hard
18,"9. A Boat takes total 16 hours for traveling downstream from point A to point B and coming back point C which is somewhere between A and B. If the speed of the Boat in Still water is 9 Km/hr and the rate of stream is 6 Km/hr, then what is the distance between A and C?",60 Km,90 Km,30 Km,Cannot be determined,Cannot be determined,Hard
19,"10. A Boat going upstream takes 8 hours 24 minutes to cover a certain distance, while it takes 5 hours to cover 5/7 of the same distance running downstream. Then what is the ratio of the speed of boat to speed of water current?",11:05,11:06,11:01,06:05,11:01,Hard
20,11. A Boat takes 128 min less to travel to 48 Km downstream than to travel the same distance upstream. If the speed of the stream is 3 Km/hr. Then Speed of Boat in still water is?,12 Km/hr,15 Km/hr,6 Km/hr,9 Km/hr,12 Km/hr,Medium
21,"12. An alloy contains Brass, Iron, and Zinc in the ratio 2:3:1 and another contains Iron, zinc, and lead in the ratio 5:4:3. If equal weights of both alloys are melted together to form a third alloy, then what will be the weight of lead per kg in new alloy?",01-Apr,41/7,01-Aug,51/9,01-Aug,Hard
22,13. A milkman mixes 6 liters of free tap water with 20litres of pure milk. If the cost of pure milk is Rs.28 per liter the % Profit of the milkman when he sells all the mixture at the cost price is,30%,16(1/3)%,25%,16.50%,30%,Medium
23,14. 144 liters of the mixture contains milk and water in the ratio 5: 7. How much milk needs to be added to this mixture so that the new ratio is 23: 21 respectively?,40 liters,28 liters,32 liters,36 liters,32 liters,Hard
24,15. A shopkeeper bought 30kg of rice at Rs.75 per kg and 20 kg of rice the rate of Rs.70. per kg.If he mixed the two brand of rice and sold the mixture at Rs.80 per kg. Find his gain,Rs.350,Rs.550,Rs.420,Rs.210,Rs.350,Medium
25,16. Cost price of 80 notebooks is equal to the selling price of 65 notebooks. The gain or loss % is,32%,42%,27%,23%,23%,Medium
26,"17. Eight years ago, Pranathi’s age was equal to the sum of the present ages of her one son and one daughter. Five years hence, the respective ratio between the ages of her daughter and her son that time will be 7:6. If Pranathi’s husband is 7 years elder to her and his present age is three times the present age of their son, what is the present age of the daughter?",19 years,27 years,15 years,23 years,23 years,Hard
27,18. Shas married 8 year ago. Today her age is 9/7 times to that time of marriage. At present his son’s age is 1/6th of her age. What was her son’s age 3 year ago?,4 yr,2 yr,3 yr,5 yr,2 yr,Medium
28,19. The respective ratio between the present age of Mani and Dheeraj is x : 42. Mani is 8 years younger than Murali. Murali’s age after 8 years will be 33 years. The difference between Dheeraj’s and Mani’s age is same as the present age of Murali. What is the value of x?,18,10,16,17,17,Hard
29,20. Revanth’s present age is three times his son’s present age and 4/5th of his father’s present age. The average of the present ages of all of them is 62 years. What is the difference between the Revanth’s son’s present age and Revanth’s father’s present age?,64 years,69 years,66 years,62 years,66 years,Hard
30,21. 36% of 945 – 26% of 765 + 17.7 =?,167,187,159,143,159,Medium
31,22. √(456÷12+142-11) =?,11,169,23,13,13,Medium
32,23. 1(1/5) of 1(1/2) of ? = 216,100,125,140,120,120,Medium
33,24. 15 32 60 122 240 ?,488,482,364,362,482,Medium
34,25. 18 10 8 9 11.5 ?,10.75,18.75,19.75,14.75,14.75,Medium
